key,en,es,fr,zh,hi,ko
article_anxiety_p6,"Also known as social phobia, this involves intense fear of social or performance situations where one might be judged, embarrassed, or humiliated. People with social anxiety may avoid social situations or endure them with significant distress. This can affect work, school, and relationships.","También conocido como fobia social, este trastorno implica un miedo intenso a situaciones sociales o de desempeño donde uno podría ser juzgado, avergonzado o humillado. Las personas con ansiedad social pueden evitar situaciones sociales o soportarlas con un malestar significativo. Esto puede afectar el trabajo, la escuela y las relaciones.","Également connu sous le nom de phobie sociale, ce trouble implique une peur intense des situations sociales ou de performance où l'on pourrait être jugé, embarrassé ou humilié. Les personnes souffrant d'anxiété sociale peuvent éviter les situations sociales ou les endurer avec une détresse significative. Cela peut affecter le travail, l'école et les relations.",也称为社交恐惧症，这涉及对社交或表演情境的强烈恐惧，在这些情境中可能会被评判、尴尬或羞辱。患有社交焦虑的人可能会避免社交场合或带着极大的痛苦忍受它们。这可能影响工作、学校和人际关系。,"सामाजिक फोबिया के रूप में भी जाना जाता है, इसमें सामाजिक या प्रदर्शन स्थितियों का तीव्र भय शामिल है जहां किसी का न्याय किया जा सकता है, शर्मिंदा किया जा सकता है या अपमानित किया जा सकता है। सामाजिक चिंता वाले लोग सामाजिक स्थितियों से बच सकते हैं या उन्हें महत्वपूर्ण कष्ट के साथ सहन कर सकते हैं। यह काम, स्कूल और संबंधों को प्रभावित कर सकता है।","사회공포증이라고도 알려진 이것은 판단받거나, 당황하거나, 굴욕을 당할 수 있는 사회적 또는 수행 상황에 대한 강렬한 두려움을 포함합니다. 사회불안이 있는 사람들은 사회적 상황을 피하거나 상당한 고통을 감수하며 견딜 수 있습니다. 이것은 직장, 학교, 관계에 영향을 미칠 수 있습니다."
article_anxiety_p7,"A specific phobia is an intense, irrational fear of a specific object, situation, or activity that poses little to no actual danger. Common phobias include fear of heights, flying, spiders, blood, or enclosed spaces. People with phobias often go to great lengths to avoid what they fear.","Una fobia específica es un miedo intenso e irracional a un objeto, situación o actividad específica que representa poco o ningún peligro real. Las fobias comunes incluyen el miedo a las alturas, volar, arañas, sangre o espacios cerrados. Las personas con fobias a menudo hacen grandes esfuerzos para evitar lo que temen.","Une phobie spécifique est une peur intense et irrationnelle d'un objet, d'une situation ou d'une activité spécifique qui ne présente que peu ou pas de danger réel. Les phobies courantes incluent la peur des hauteurs, de l'avion, des araignées, du sang ou des espaces clos. Les personnes phobiques font souvent de grands efforts pour éviter ce qu'elles craignent.",特定恐惧症是对特定物体、情境或活动的强烈、非理性的恐惧，而这些实际上几乎没有危险。常见的恐惧症包括恐高、飞行恐惧、蜘蛛恐惧、血液恐惧或密闭空间恐惧。有恐惧症的人通常会竭尽全力避免他们所恐惧的事物。,"विशिष्ट फोबिया एक विशेष वस्तु, स्थिति या गतिविधि का तीव्र, तर्कहीन भय है जो वास्तव में बहुत कम या कोई वास्तविक खतरा पैदा नहीं करती। आम फोबिया में ऊंचाई, उड़ान, मकड़ियों, खून या बंद स्थानों का डर शामिल है। फोबिया वाले लोग अक्सर जिससे डरते हैं उससे बचने के लिए बहुत कोशिश करते हैं।","특정 공포증은 실제로 거의 또는 전혀 위험이 없는 특정 대상, 상황 또는 활동에 대한 강렬하고 비합리적인 두려움입니다. 일반적인 공포증으로는 높이, 비행, 거미, 피, 밀폐된 공간에 대한 두려움이 있습니다. 공포증이 있는 사람들은 종종 두려워하는 것을 피하기 위해 큰 노력을 기울입니다."
article_anxiety_p8,"While often thought of as a childhood condition, separation anxiety can occur in adults too. It involves excessive fear or anxiety about separation from attachment figures, worry about harm coming to loved ones, and reluctance to leave home or be alone.","Aunque a menudo se piensa como una condición infantil, la ansiedad por separación también puede ocurrir en adultos. Implica un miedo o ansiedad excesivos sobre la separación de las figuras de apego, preocupación por el daño que pueda ocurrirles a los seres queridos y reluctancia a salir de casa o estar solo.","Bien que souvent considéré comme une condition de l'enfance, l'anxiété de séparation peut également survenir chez les adultes. Elle implique une peur ou une anxiété excessive concernant la séparation des figures d'attachement, une inquiétude concernant le mal pouvant arriver aux êtres chers et une réticence à quitter la maison ou à être seul.",虽然通常被认为是儿童时期的问题，但成年人也可能出现分离焦虑。它涉及对与依恋对象分离的过度恐惧或焦虑、担心亲人受到伤害，以及不愿离家或独处。,"हालांकि अक्सर बचपन की स्थिति के रूप में सोचा जाता है, विच्छेद चिंता वयस्कों में भी हो सकती है। इसमें लगाव के व्यक्तियों से अलग होने के बारे में अत्यधिक भय या चिंता, प्रियजनों को नुकसान होने की चिंता, और घर छोड़ने या अकेले रहने की अनिच्छा शामिल है।","어린 시절의 상태로 종종 생각되지만, 분리불안은 성인에게도 발생할 수 있습니다. 애착 대상과의 분리에 대한 과도한 두려움이나 불안, 사랑하는 사람에게 해가 올 것에 대한 걱정, 집을 떠나거나 혼자 있기를 꺼리는 것을 포함합니다."
article_anxiety_p9,Anxiety manifests in both physical and psychological ways. Recognizing these symptoms is the first step toward getting help.,La ansiedad se manifiesta tanto de formas físicas como psicológicas. Reconocer estos síntomas es el primer paso para obtener ayuda.,L'anxiété se manifeste à la fois de manière physique et psychologique. Reconnaître ces symptômes est la première étape pour obtenir de l'aide.,焦虑以躯体和心理两种方式表现。认识这些症状是获得帮助的第一步。,चिंता शारीरिक और मनोवैज्ञानिक दोनों तरीकों से प्रकट होती है। इन लक्षणों को पहचानना मदद पाने की दिशा में पहला कदम है।,불안은 신체적 및 심리적 방식으로 나타납니다. 이러한 증상을 인식하는 것이 도움을 받기 위한 첫 번째 단계입니다.
article_anxiety_subtitle,"A comprehensive guide to understanding what anxiety disorders are, how they manifest, and the evidence-based treatments available.","Una guía completa para entender qué son los trastornos de ansiedad, cómo se manifiestan y los tratamientos basados en evidencia disponibles.","Un guide complet pour comprendre ce que sont les troubles anxieux, comment ils se manifestent et les traitements fondés sur des preuves disponibles.",全面了解焦虑症是什么、如何表现以及可用的循证治疗方法的指南。,"चिंता विकार क्या हैं, वे कैसे प्रकट होते हैं और उपलब्ध साक्ष्य-आधारित उपचार को समझने के लिए एक व्यापक मार्गदर्शिका।","불안장애가 무엇인지, 어떻게 나타나는지, 이용 가능한 근거 기반 치료에 대한 종합 가이드."
article_anxiety_title,"Understanding Anxiety Disorders: Symptoms, Types, and Treatment","Comprendiendo los Trastornos de Ansiedad: Síntomas, Tipos y Tratamiento","Comprendre les Troubles Anxieux : Symptômes, Types et Traitement",了解焦虑症：症状、类型和治疗,"चिंता विकारों को समझना: लक्षण, प्रकार और उपचार","불안장애 이해하기: 증상, 유형 및 치료"
article_anxiety_toc_1,What is Anxiety?,¿Qué es la Ansiedad?,Qu'est-ce que l'Anxiété ?,什么是焦虑？,चिंता क्या है?,불안이란 무엇인가요?
article_anxiety_toc_2,Types of Anxiety Disorders,Tipos de Trastornos de Ansiedad,Types de Troubles Anxieux,焦虑症的类型,चिंता विकारों के प्रकार,불안장애의 유형
article_anxiety_toc_3,Common Symptoms,Síntomas Comunes,Symptômes Courants,常见症状,सामान्य लक्षण,일반적인 증상
article_anxiety_toc_4,Causes and Risk Factors,Causas y Factores de Riesgo,Causes et Facteurs de Risque,原因和风险因素,कारण और जोखिम कारक,원인과 위험 요인
article_anxiety_toc_5,Treatment Options,Opciones de Tratamiento,Options de Traitement,治疗选择,उपचार विकल्प,치료 옵션
article_anxiety_toc_6,Self-Help Strategies,Estrategias de Autoayuda,Stratégies d'Auto-Aide,自助策略,स्व-सहायता रणनीतियां,자가도움 전략
article_anxiety_toc_7,When to Seek Help,Cuándo Buscar Ayuda,Quand Chercher de l'Aide,何时寻求帮助,कब मदद लें,도움을 받아야 할 때
article_back_to_blog,Back to Blog,Volver al Blog,Retour au Blog,返回博客,ब्लॉग पर वापस,블로그로 돌아가기
article_depression_h2_1,What is Depression?,¿Qué es la Depresión?,Qu'est-ce que la Dépression ?,什么是抑郁症？,अवसाद क्या है?,우울증이란 무엇인가요?
article_depression_h2_2,Signs and Symptoms,Signos y Síntomas,Signes et Symptômes,症状和体征,संकेत और लक्षण,징후와 증상
article_depression_h2_3,Types of Depression,Tipos de Depresión,Types de Dépression,抑郁症的类型,अवसाद के प्रकार,우울증의 유형
article_depression_h2_4,Causes and Risk Factors,Causas y Factores de Riesgo,Causes et Facteurs de Risque,原因和风险因素,कारण और जोखिम कारक,원인과 위험 요인
article_depression_h2_5,Treatment Options,Opciones de Tratamiento,Options de Traitement,治疗选择,उपचार विकल्प,치료 옵션
article_depression_h2_6,Self-Care Strategies,Estrategias de Autocuidado,Stratégies d'Autosoins,自我护理策略,स्व-देखभाल रणनीतियां,자기관리 전략
article_depression_h2_7,Helping Someone with Depression,Ayudar a Alguien con Depresión,Aider Quelqu'un avec la Dépression,帮助抑郁症患者,अवसाद वाले व्यक्ति की मदद करना,우울증 환자 돕기
article_depression_h3_1,Emotional Symptoms,Síntomas Emocionales,Symptômes Émotionnels,情绪症状,भावनात्मक लक्षण,감정적 증상
article_depression_h3_10,Psychological Factors,Factores Psicológicos,Facteurs Psychologiques,心理因素,मनोवैज्ञानिक कारक,심리적 요인
article_depression_h3_11,Environmental Factors,Factores Ambientales,Facteurs Environnementaux,环境因素,पर्यावरणीय कारक,환경적 요인
article_depression_h3_12,Psychotherapy,Psicoterapia,Psychothérapie,心理治疗,मनोचिकित्सा,심리치료
article_depression_h3_13,Medication,Medicación,Médicaments,药物治疗,दवाएं,약물
article_depression_h3_14,Other Treatments,Otros Tratamientos,Autres Traitements,其他治疗,अन्य उपचार,기타 치료
article_depression_h3_15,Physical Health,Salud Física,Santé Physique,身体健康,शारीरिक स्वास्थ्य,신체 건강
article_depression_h3_16,Social Connection,Conexión Social,Connexion Sociale,社交联系,सामाजिक संबंध,사회적 연결
article_depression_h3_17,Mental Wellness,Bienestar Mental,Bien-être Mental,心理健康,मानसिक कल्याण,정신 건강
article_depression_h3_18,What to Do,Qué Hacer,Que Faire,应该做什么,क्या करें,해야 할 것
article_depression_h3_19,What to Avoid,Qué Evitar,Que Éviter,应该避免什么,क्या न करें,피해야 할 것
article_depression_h3_2,Physical Symptoms,Síntomas Físicos,Symptômes Physiques,身体症状,शारीरिक लक्षण,신체적 증상
article_depression_h3_20,When to Seek Emergency Help,Cuándo Buscar Ayuda de Emergencia,Quand Chercher de l'Aide d'Urgence,何时寻求紧急帮助,आपातकालीन मदद कब लें,응급 도움을 받아야 할 때
article_depression_h3_3,Cognitive Symptoms,Síntomas Cognitivos,Symptômes Cognitifs,认知症状,संज्ञानात्मक लक्षण,인지적 증상
article_depression_h3_4,Major Depressive Disorder,Trastorno Depresivo Mayor,Trouble Dépressif Majeur,重度抑郁障碍,प्रमुख अवसादग्रस्त विकार,주요우울장애
article_depression_h3_5,Persistent Depressive Disorder (Dysthymia),Trastorno Depresivo Persistente (Distimia),Trouble Dépressif Persistant (Dysthymie),持续性抑郁障碍（心境恶劣）,लगातार अवसादग्रस्त विकार (डिस्टीमिया),지속성 우울장애 (기분부전증)
article_depression_h3_6,Seasonal Affective Disorder (SAD),Trastorno Afectivo Estacional (TAE),Trouble Affectif Saisonnier (TAS),季节性情感障碍（SAD）,मौसमी भावात्मक विकार (SAD),계절성 정동장애 (SAD)
article_depression_h3_7,Postpartum Depression,Depresión Posparto,Dépression Post-partum,产后抑郁症,प्रसवोत्तर अवसाद,산후 우울증
article_depression_h3_8,Bipolar Depression,Depresión Bipolar,Dépression Bipolaire,双相抑郁症,द्विध्रुवी अवसाद,양극성 우울증
article_depression_h3_9,Biological Factors,Factores Biológicos,Facteurs Biologiques,生物因素,जैविक कारक,생물학적 요인
article_depression_li1,"<strong>Persistent sad, anxious, or empty mood</strong> that lasts most of the day, nearly every day","<strong>Estado de ánimo persistentemente triste, ansioso o vacío</strong> que dura la mayor parte del día, casi todos los días","<strong>Humeur persistante de tristesse, d'anxiété ou de vide</strong> qui dure la majeure partie de la journée, presque tous les jours",<strong>持续的悲伤、焦虑或空虚情绪</strong>，几乎每天持续大部分时间,"<strong>लगातार उदास, चिंतित या खाली मनोदशा</strong> जो दिन के अधिकांश समय, लगभग हर दिन रहती है","<strong>지속적인 슬픔, 불안 또는 공허한 기분</strong>이 하루 종일, 거의 매일 지속됨"
article_depression_li10,<strong>Slowed movements or speech</strong> that others may notice,<strong>Movimientos o habla lenta</strong> que otros pueden notar,<strong>Mouvements ou parole ralentis</strong> que d'autres peuvent remarquer,<strong>动作或言语迟缓</strong>，他人可能会注意到,<strong>धीमी गति या भाषण</strong> जो दूसरे नोटिस कर सकते हैं,<strong>움직임이나 말이 느려짐</strong> 다른 사람이 알아챌 수 있음
article_depression_li11,"<strong>Difficulty thinking, concentrating, or making decisions</strong>","<strong>Dificultad para pensar, concentrarse o tomar decisiones</strong>","<strong>Difficulté à penser, à se concentrer ou à prendre des décisions</strong>",<strong>思考、集中注意力或做决定困难</strong>,"<strong>सोचने, ध्यान केंद्रित करने या निर्णय लेने में कठिनाई</strong>","<strong>생각, 집중 또는 결정의 어려움</strong>"
article_depression_li12,<strong>Memory problems</strong> and forgetfulness,<strong>Problemas de memoria</strong> y olvidos,<strong>Problèmes de mémoire</strong> et oublis,<strong>记忆问题</strong>和健忘,<strong>स्मृति समस्याएं</strong> और भूलने की बीमारी,<strong>기억력 문제</strong>와 건망증
article_depression_li13,<strong>Thoughts of death or suicide</strong> - this is a serious symptom that requires immediate attention,<strong>Pensamientos de muerte o suicidio</strong> - este es un síntoma serio que requiere atención inmediata,<strong>Pensées de mort ou de suicide</strong> - c'est un symptôme grave qui nécessite une attention immédiate,<strong>死亡或自杀的想法</strong> - 这是一个严重的症状，需要立即关注,<strong>मृत्यु या आत्महत्या के विचार</strong> - यह एक गंभीर लक्षण है जिस पर तुरंत ध्यान देने की आवश्यकता है,<strong>죽음이나 자살에 대한 생각</strong> - 즉각적인 주의가 필요한 심각한 증상
article_depression_li14,"<strong>Brain chemistry:</strong> Imbalances in neurotransmitters like serotonin, norepinephrine, and dopamine may contribute to depression","<strong>Química cerebral:</strong> Desequilibrios en neurotransmisores como serotonina, norepinefrina y dopamina pueden contribuir a la depresión","<strong>Chimie cérébrale :</strong> Des déséquilibres dans les neurotransmetteurs comme la sérotonine, la noradrénaline et la dopamine peuvent contribuer à la dépression",<strong>脑化学：</strong>血清素、去甲肾上腺素和多巴胺等神经递质失衡可能导致抑郁症,"<strong>मस्तिष्क रसायन:</strong> सेरोटोनिन, नॉरएपिनेफ्रिन और डोपामाइन जैसे न्यूरोट्रांसमीटर में असंतुलन अवसाद में योगदान कर सकता है","<strong>뇌 화학:</strong> 세로토닌, 노르에피네프린, 도파민과 같은 신경전달물질의 불균형이 우울증에 기여할 수 있음"
article_depression_li15,<strong>Genetics:</strong> Depression can run in families. Having a parent or sibling with depression increases your risk,<strong>Genética:</strong> La depresión puede ser hereditaria. Tener un padre o hermano con depresión aumenta tu riesgo,<strong>Génétique :</strong> La dépression peut être héréditaire. Avoir un parent ou un frère/sœur dépressif augmente votre risque,<strong>遗传：</strong>抑郁症可能具有家族遗传性。父母或兄弟姐妹患有抑郁症会增加您的风险,<strong>आनुवंशिकी:</strong> अवसाद परिवारों में चल सकता है। माता-पिता या भाई-बहन को अवसाद होने से आपका जोखिम बढ़ जाता है,<strong>유전:</strong> 우울증은 가족력이 있을 수 있음. 부모나 형제자매에게 우울증이 있으면 위험이 증가함
article_depression_li16,"<strong>Hormonal changes:</strong> Fluctuations in hormones can trigger depression, such as during pregnancy, postpartum, menopause, or thyroid problems","<strong>Cambios hormonales:</strong> Las fluctuaciones hormonales pueden desencadenar depresión, como durante el embarazo, posparto, menopausia o problemas de tiroides","<strong>Changements hormonaux :</strong> Les fluctuations hormonales peuvent déclencher la dépression, comme pendant la grossesse, le post-partum, la ménopause ou les problèmes de thyroïde",<strong>激素变化：</strong>激素波动可能触发抑郁症，如怀孕期间、产后、更年期或甲状腺问题,"<strong>हार्मोनल परिवर्तन:</strong> हार्मोन में उतार-चढ़ाव अवसाद को ट्रिगर कर सकता है, जैसे गर्भावस्था, प्रसवोत्तर, रजोनिवृत्ति या थायराइड समस्याओं के दौरान","<strong>호르몬 변화:</strong> 임신, 산후, 폐경 또는 갑상선 문제 동안 호르몬 변동이 우울증을 유발할 수 있음"
article_depression_li17,"<strong>Trauma and abuse:</strong> Past physical, emotional, or sexual abuse can increase vulnerability to depression","<strong>Trauma y abuso:</strong> El abuso físico, emocional o sexual pasado puede aumentar la vulnerabilidad a la depresión","<strong>Traumatisme et abus :</strong> Les abus physiques, émotionnels ou sexuels passés peuvent augmenter la vulnérabilité à la dépression",<strong>创伤和虐待：</strong>过去的身体、情感或性虐待可能增加对抑郁症的易感性,"<strong>आघात और दुर्व्यवहार:</strong> पिछले शारीरिक, भावनात्मक या यौन दुर्व्यवहार अवसाद के प्रति संवेदनशीलता बढ़ा सकता है","<strong>트라우마와 학대:</strong> 과거의 신체적, 감정적 또는 성적 학대가 우울증에 대한 취약성을 증가시킬 수 있음"
article_depression_li18,"<strong>Personality traits:</strong> People with low self-esteem, who are easily overwhelmed by stress, or who are generally pessimistic may be more prone to depression","<strong>Rasgos de personalidad:</strong> Las personas con baja autoestima, fácilmente abrumadas por el estrés o generalmente pesimistas pueden ser más propensas a la depresión","<strong>Traits de personnalité :</strong> Les personnes ayant une faible estime de soi, facilement submergées par le stress ou généralement pessimistes peuvent être plus sujettes à la dépression",<strong>人格特征：</strong>低自尊、容易被压力压倒或通常悲观的人可能更容易患抑郁症,"<strong>व्यक्तित्व लक्षण:</strong> कम आत्मसम्मान वाले, तनाव से आसानी से अभिभूत होने वाले या आम तौर पर निराशावादी लोग अवसाद के प्रति अधिक प्रवण हो सकते हैं","<strong>성격 특성:</strong> 낮은 자존감, 스트레스에 쉽게 압도되거나, 일반적으로 비관적인 사람들이 우울증에 더 취약할 수 있음"
article_depression_li19,<strong>Negative thinking patterns:</strong> Habitual negative thoughts can reinforce depressive feelings,<strong>Patrones de pensamiento negativo:</strong> Los pensamientos negativos habituales pueden reforzar los sentimientos depresivos,<strong>Schémas de pensée négatifs :</strong> Les pensées négatives habituelles peuvent renforcer les sentiments dépressifs,<strong>消极思维模式：</strong>习惯性的消极思想可以加强抑郁感,<strong>नकारात्मक सोच पैटर्न:</strong> आदतन नकारात्मक विचार अवसादग्रस्त भावनाओं को मजबूत कर सकते हैं,<strong>부정적 사고 패턴:</strong> 습관적인 부정적 사고가 우울한 감정을 강화할 수 있음
article_depression_li2,<strong>Feelings of hopelessness</strong> or pessimism about the future,<strong>Sentimientos de desesperanza</strong> o pesimismo sobre el futuro,<strong>Sentiments de désespoir</strong> ou de pessimisme concernant l'avenir,<strong>绝望感</strong>或对未来的悲观情绪,<strong>निराशा की भावनाएं</strong> या भविष्य के बारे में निराशावाद,<strong>절망감</strong> 또는 미래에 대한 비관
article_depression_li20,"<strong>Major life changes:</strong> Job loss, divorce, death of a loved one, or other significant changes can trigger depression","<strong>Cambios importantes en la vida:</strong> Pérdida de empleo, divorcio, muerte de un ser querido u otros cambios significativos pueden desencadenar depresión","<strong>Changements majeurs de vie :</strong> Perte d'emploi, divorce, décès d'un être cher ou autres changements significatifs peuvent déclencher la dépression",<strong>重大生活变化：</strong>失业、离婚、亲人去世或其他重大变化可能触发抑郁症,"<strong>प्रमुख जीवन परिवर्तन:</strong> नौकरी छूटना, तलाक, किसी प्रियजन की मृत्यु या अन्य महत्वपूर्ण परिवर्तन अवसाद को ट्रिगर कर सकते हैं","<strong>중요한 삶의 변화:</strong> 실직, 이혼, 사랑하는 사람의 죽음 또는 기타 중요한 변화가 우울증을 유발할 수 있음"
article_depression_li21,"<strong>Chronic stress:</strong> Ongoing stress from work, relationships, or financial problems can lead to depression","<strong>Estrés crónico:</strong> El estrés continuo del trabajo, relaciones o problemas financieros puede llevar a la depresión","<strong>Stress chronique :</strong> Le stress continu du travail, des relations ou des problèmes financiers peut mener à la dépression",<strong>慢性压力：</strong>工作、人际关系或财务问题的持续压力可能导致抑郁症,"<strong>पुराना तनाव:</strong> काम, रिश्तों या वित्तीय समस्याओं से निरंतर तनाव अवसाद का कारण बन सकता है","<strong>만성 스트레스:</strong> 직장, 관계 또는 재정 문제로 인한 지속적인 스트레스가 우울증으로 이어질 수 있음"
article_depression_li22,<strong>Social isolation:</strong> Lack of social support and meaningful connections increases depression risk,<strong>Aislamiento social:</strong> La falta de apoyo social y conexiones significativas aumenta el riesgo de depresión,<strong>Isolement social :</strong> Le manque de soutien social et de connexions significatives augmente le risque de dépression,<strong>社交孤立：</strong>缺乏社会支持和有意义的联系会增加抑郁症风险,<strong>सामाजिक अलगाव:</strong> सामाजिक समर्थन और सार्थक संबंधों की कमी अवसाद के जोखिम को बढ़ाती है,<strong>사회적 고립:</strong> 사회적 지지와 의미 있는 연결의 부족이 우울증 위험을 증가시킴
article_depression_li23,<strong>Cognitive Behavioral Therapy (CBT):</strong> Helps identify and change negative thought patterns and behaviors,<strong>Terapia Cognitivo-Conductual (TCC):</strong> Ayuda a identificar y cambiar patrones de pensamiento y comportamiento negativos,<strong>Thérapie Cognitivo-Comportementale (TCC) :</strong> Aide à identifier et à changer les schémas de pensée et de comportement négatifs,<strong>认知行为疗法（CBT）：</strong>帮助识别和改变消极的思维模式和行为,<strong>संज्ञानात्मक व्यवहार थेरेपी (CBT):</strong> नकारात्मक विचार पैटर्न और व्यवहारों की पहचान करने और बदलने में मदद करती है,<strong>인지행동치료(CBT):</strong> 부정적인 사고 패턴과 행동을 식별하고 바꾸는 데 도움이 됨
article_depression_li24,<strong>Interpersonal Therapy (IPT):</strong> Focuses on improving relationships and communication skills,<strong>Terapia Interpersonal (TIP):</strong> Se enfoca en mejorar las relaciones y habilidades de comunicación,<strong>Thérapie Interpersonnelle (TIP) :</strong> Se concentre sur l'amélioration des relations et des compétences de communication,<strong>人际关系疗法（IPT）：</strong>专注于改善人际关系和沟通技巧,<strong>इंटरपर्सनल थेरेपी (IPT):</strong> संबंधों और संचार कौशल में सुधार पर केंद्रित है,<strong>대인관계 치료(IPT):</strong> 관계와 의사소통 기술 개선에 초점
article_depression_li25,<strong>Psychodynamic Therapy:</strong> Explores how past experiences influence current feelings and behaviors,<strong>Terapia Psicodinámica:</strong> Explora cómo las experiencias pasadas influyen en los sentimientos y comportamientos actuales,<strong>Thérapie Psychodynamique :</strong> Explore comment les expériences passées influencent les sentiments et comportements actuels,<strong>心理动力学疗法：</strong>探索过去的经历如何影响当前的感受和行为,<strong>साइकोडायनामिक थेरेपी:</strong> यह पता लगाती है कि पिछले अनुभव वर्तमान भावनाओं और व्यवहारों को कैसे प्रभावित करते हैं,<strong>정신역동 치료:</strong> 과거 경험이 현재 감정과 행동에 어떻게 영향을 미치는지 탐색
article_depression_li26,"<strong>SSRIs (Selective Serotonin Reuptake Inhibitors):</strong> Often the first-line treatment, including medications like fluoxetine and sertraline","<strong>ISRS (Inhibidores Selectivos de la Recaptación de Serotonina):</strong> A menudo el tratamiento de primera línea, incluyendo medicamentos como fluoxetina y sertralina","<strong>ISRS (Inhibiteurs Sélectifs de la Recapture de la Sérotonine) :</strong> Souvent le traitement de première ligne, incluant des médicaments comme la fluoxétine et la sertraline",<strong>SSRIs（选择性血清素再摄取抑制剂）：</strong>通常是一线治疗，包括氟西汀和舍曲林等药物,"<strong>SSRIs (सेलेक्टिव सेरोटोनिन रीअपटेक इनहिबिटर्स):</strong> अक्सर पहली पंक्ति का उपचार, जिसमें फ्लुओक्सेटीन और सर्ट्रालीन जैसी दवाएं शामिल हैं","<strong>SSRI(선택적 세로토닌 재흡수 억제제):</strong> 플루옥세틴, 설트랄린 같은 약물을 포함한 일차 치료제로 자주 사용됨"
article_depression_li27,<strong>SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors):</strong> Another common option for depression,<strong>IRSN (Inhibidores de la Recaptación de Serotonina y Norepinefrina):</strong> Otra opción común para la depresión,<strong>IRSN (Inhibiteurs de la Recapture de la Sérotonine-Noradrénaline) :</strong> Une autre option courante pour la dépression,<strong>SNRIs（血清素-去甲肾上腺素再摄取抑制剂）：</strong>另一种常见的抑郁症治疗选择,<strong>SNRIs (सेरोटोनिन-नॉरएपिनेफ्रिन रीअपटेक इनहिबिटर्स):</strong> अवसाद के लिए एक अन्य सामान्य विकल्प,<strong>SNRI(세로토닌-노르에피네프린 재흡수 억제제):</strong> 우울증에 대한 또 다른 일반적인 옵션
article_depression_li28,<strong>Other medications:</strong> Your doctor may recommend different options based on your specific situation,<strong>Otros medicamentos:</strong> Tu médico puede recomendar diferentes opciones según tu situación específica,<strong>Autres médicaments :</strong> Votre médecin peut recommander différentes options selon votre situation spécifique,<strong>其他药物：</strong>您的医生可能会根据您的具体情况推荐不同的选择,<strong>अन्य दवाएं:</strong> आपकी विशिष्ट स्थिति के आधार पर आपका डॉक्टर विभिन्न विकल्पों की सिफारिश कर सकता है,<strong>기타 약물:</strong> 의사가 특정 상황에 따라 다른 옵션을 권장할 수 있음
article_depression_li29,<strong>Brain stimulation therapies:</strong> Such as electroconvulsive therapy (ECT) or transcranial magnetic stimulation (TMS) for treatment-resistant depression,<strong>Terapias de estimulación cerebral:</strong> Como la terapia electroconvulsiva (TEC) o la estimulación magnética transcraneal (EMT) para depresión resistente al tratamiento,<strong>Thérapies de stimulation cérébrale :</strong> Comme l'électroconvulsivothérapie (ECT) ou la stimulation magnétique transcrânienne (SMT) pour la dépression résistante au traitement,<strong>脑刺激疗法：</strong>如电休克疗法（ECT）或经颅磁刺激（TMS）用于治疗难治性抑郁症,<strong>मस्तिष्क उत्तेजना थेरेपी:</strong> जैसे इलेक्ट्रोकन्वल्सिव थेरेपी (ECT) या ट्रांसक्रेनियल मैग्नेटिक स्टिमुलेशन (TMS) उपचार-प्रतिरोधी अवसाद के लिए,<strong>뇌 자극 치료:</strong> 치료 저항성 우울증에 대한 전기충격요법(ECT) 또는 경두개 자기자극(TMS) 등
article_depression_li3,"<strong>Feelings of guilt, worthlessness, or helplessness</strong> that seem excessive or inappropriate","<strong>Sentimientos de culpa, inutilidad o impotencia</strong> que parecen excesivos o inapropiados","<strong>Sentiments de culpabilité, d'inutilité ou d'impuissance</strong> qui semblent excessifs ou inappropriés",<strong>内疚、无价值或无助感</strong>，看起来过度或不适当,"<strong>अपराधबोध, बेकारता या असहायता की भावनाएं</strong> जो अत्यधिक या अनुचित लगती हैं","<strong>죄책감, 무가치함 또는 무력감</strong>이 과도하거나 부적절하게 느껴짐"
article_depression_li30,<strong>Light therapy:</strong> Particularly effective for seasonal affective disorder,<strong>Terapia de luz:</strong> Particularmente efectiva para el trastorno afectivo estacional,<strong>Luminothérapie :</strong> Particulièrement efficace pour le trouble affectif saisonnier,<strong>光疗法：</strong>对季节性情感障碍特别有效,<strong>प्रकाश चिकित्सा:</strong> मौसमी भावात्मक विकार के लिए विशेष रूप से प्रभावी,<strong>광선치료:</strong> 계절성 정동장애에 특히 효과적
article_depression_li31,<strong>Exercise:</strong> Regular physical activity has been shown to reduce depression symptoms,<strong>Ejercicio:</strong> La actividad física regular ha demostrado reducir los síntomas de depresión,<strong>Exercice :</strong> L'activité physique régulière a montré qu'elle réduisait les symptômes de la dépression,<strong>运动：</strong>定期体育活动已被证明可以减少抑郁症状,<strong>व्यायाम:</strong> नियमित शारीरिक गतिविधि अवसाद के लक्षणों को कम करने के लिए दिखाई गई है,<strong>운동:</strong> 규칙적인 신체 활동이 우울증 증상을 줄이는 것으로 나타남
